RBP	miRNA	sum_RBP_per_total	sum_miRNA_per_total	average
ATXN2	hsa-let-7f-2	0	0	0
ATXN2	hsa-let-7g	0	0	0
ATXN2	hsa-let-7i	0	0	0
ATXN2	hsa-mir-1-1	0	0	0
ATXN2	hsa-mir-1-2	0	0	0
ATXN2	hsa-mir-106a	0	0	0
ATXN2	hsa-mir-106b	0	0	0
ATXN2	hsa-mir-107	0	0	0
ATXN2	hsa-mir-10b	0	0	0
ATXN2	hsa-mir-122	0	0	0
ATXN2	hsa-mir-128-1	75	1.13851992409867	38.0692599620493
ATXN2	hsa-mir-128-2	0	0	0
ATXN2	hsa-mir-138-1	0	0	0
ATXN2	hsa-mir-138-2	0	0	0
ATXN2	hsa-mir-140	0	0	0
ATXN2	hsa-mir-141	0	0	0
ATXN2	hsa-mir-143	0	0	0
ATXN2	hsa-mir-145	0	0	0
ATXN2	hsa-mir-155	0	0	0
ATXN2	hsa-mir-15a	0	0	0
ATXN2	hsa-mir-15b	0	0	0
ATXN2	hsa-mir-16-1	0	0	0
ATXN2	hsa-mir-16-2	0	0	0
ATXN2	hsa-mir-17	0	0	0
ATXN2	hsa-mir-18a	0	0	0
ATXN2	hsa-mir-18b	0	0	0
ATXN2	hsa-mir-199a-1	0	0	0
ATXN2	hsa-mir-199a-2	0	0	0
ATXN2	hsa-mir-19a	0	0	0
ATXN2	hsa-mir-19b-1	0	0	0
ATXN2	hsa-mir-19b-2	0	0	0
ATXN2	hsa-mir-200a	0	0	0
ATXN2	hsa-mir-200b	0	0	0
ATXN2	hsa-mir-200c	0	0	0
ATXN2	hsa-mir-205	0	0	0
ATXN2	hsa-mir-206	0	0	0
ATXN2	hsa-mir-20a	0	0	0
ATXN2	hsa-mir-20b	0	0	0
ATXN2	hsa-mir-21	0	0	0
ATXN2	hsa-mir-214	0	0	0
ATXN2	hsa-mir-221	0	0	0
ATXN2	hsa-mir-222	0	0	0
ATXN2	hsa-mir-25	0	0	0
ATXN2	hsa-mir-29a	0	0	0
ATXN2	hsa-mir-29b-1	0	0	0
ATXN2	hsa-mir-29b-2	0	0	0
ATXN2	hsa-mir-29c	0	0	0
ATXN2	hsa-mir-31	0	0	0
ATXN2	hsa-mir-34a	0	0	0
